Voltage,D0,D1,D2,D3,D4
0.31761837005615234,3.19983005523682,3.14547061920166,3.82162570953369,3.73293399810791,4.0366792678833
0.3211336135864258,2.93851852416992,2.88463592529297,3.55078220367432,3.472580909729,3.777756690979
0.3246498107910156,2.69771575927734,2.64669418334961,3.29519748687744,3.2274866104126,3.5331392288208
0.32816505432128906,2.48409271240234,2.43783950805664,3.06869506835938,3.01004409790039,3.31617832183838
0.3316812515258789,2.29669570922852,2.25378036499023,2.86603927612305,2.81787872314453,3.12162399291992
0.33519649505615234,2.12837219238281,2.08831787109375,2.68293380737305,2.64144897460938,2.94233322143555
0.3387126922607422,1.97244644165039,1.93763732910156,2.51461029052734,2.47980117797852,2.77687072753906
0.3422279357910156,1.83845043182373,1.80554866790771,2.36297607421875,2.33531951904297,2.62809753417969
0.34574317932128906,1.71924114227295,1.68824672698975,2.22612380981445,2.20514297485352,2.49696731567383
0.3492593765258789,1.61195278167725,1.58286571502686,2.10262298583984,2.08593368530273,2.37060546875
0.35277462005615234,1.51420116424561,1.48845195770264,1.98722839355469,1.97673797607422,2.25568771362305
0.3562908172607422,1.43456935882568,1.40977382659912,1.89233779907227,1.8828010559082,2.15602874755859
0.3597278594970703,1.35732173919678,1.33300304412842,1.79648876190186,1.79315090179443,2.06161499023438
0.36324405670166016,1.28627300262451,1.26433849334717,1.70875072479248,1.71018123626709,1.97006225585938
