frame,mol2
772,15.639
773,15.840
774,16.040
775,15.572
776,15.687
777,15.588
778,16.151
779,16.153
780,15.909
781,15.653
782,16.309
783,15.838
784,15.768
785,15.816
786,15.904
787,15.770
788,15.893
789,15.865
790,15.764
791,15.603
792,15.534
793,15.659
794,16.089
795,16.647
796,16.040
797,16.330
798,16.115
799,16.915
800,16.582
801,16.129
802,16.681
803,16.755
804,16.621
805,16.399
806,16.709
807,16.233
808,15.811
809,16.082
810,16.411
811,16.320
812,16.315
813,16.544
814,16.440
815,16.344
816,16.346
817,16.134
818,15.935
819,16.081
820,15.722
821,15.573
822,15.656
823,15.606
824,16.035
825,16.156
826,15.765
827,16.073
828,15.862
829,15.654
830,15.948
831,15.944
832,16.280
833,15.985
834,15.958
835,15.685
836,16.031
837,16.265
838,15.975
839,16.660
840,16.286
841,16.093
842,15.703
843,15.494
844,15.546
845,15.774
846,15.540
847,15.784
848,15.740
849,15.632
850,15.538
851,15.594
852,15.501
853,15.853
854,15.616
855,16.060
856,15.805
857,16.429
858,16.223
859,16.357
860,15.932
861,15.894
862,15.861
863,16.521
864,16.106
865,16.036
866,16.288
867,16.297
868,16.209
869,16.203
870,15.901
871,15.958
872,15.817
873,15.713
874,15.994
875,15.919
876,16.327
877,17.185
878,16.507
879,16.910
880,16.608
881,16.786
882,17.177
883,16.939
884,16.961
885,16.689
886,16.106
887,16.664
888,17.098
889,17.195
890,17.454
891,17.309
892,17.250
893,17.035
894,17.112
895,17.474
896,17.397
897,18.005
898,17.426
899,17.888
900,17.658
901,17.865
902,18.092
903,18.206
904,17.797
905,17.149
906,17.249
907,17.102
908,17.167
909,16.987
910,17.261
911,17.129
912,18.128
913,17.345
914,17.293
915,17.239
916,17.495
917,17.807
918,17.410
919,17.680
920,17.175
921,17.186
922,16.987
923,17.161
924,17.456
925,17.225
926,16.884
927,17.308
928,17.289
929,17.955
930,17.791
931,18.007
932,17.527
933,17.574
934,17.562
935,17.401
936,17.392
937,17.654
938,17.595
939,17.934
940,17.664
941,17.500
942,17.506
943,17.397
944,16.996
945,17.271
946,17.770
947,17.170
948,17.297
949,17.282
950,17.350
951,16.904
952,17.035
953,17.012
954,17.122
955,16.596
956,17.054
957,17.615
958,17.398
959,17.567
960,17.886
961,17.929
962,17.735
963,17.811
964,17.782
965,18.216
966,18.157
967,18.166
968,17.606
969,17.978
970,18.510
971,17.966
972,18.260
973,18.694
974,18.227
975,18.233
976,18.015
977,17.787
978,18.158
979,17.973
980,17.826
981,18.246
982,17.984
983,18.110
984,17.853
985,18.019
986,17.870
987,17.580
988,18.408
989,18.207
990,17.630
991,17.397
992,17.665
993,17.759
994,17.774
995,17.577
996,17.984
997,17.927
998,17.533
999,17.539
1000,17.794
1001,18.096

