GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
25,39.54,54.06,51.39,15.57,0.0,0.0,-31.71,-45.28,119.59,-2.31,-4.51,8.47,200.85,3.96,204.81
26,41.85,43.23,52.38,12.17,0.0,0.0,-32.88,-43.37,117.06,-2.96,-7.11,8.6,187.48,1.49,188.98
27,41.57,48.06,52.16,15.76,0.0,0.0,-33.73,-42.74,117.08,-4.25,-7.6,8.76,193.92,1.17,195.09
28,43.86,57.28,56.08,15.65,0.0,0.0,-31.63,-43.74,118.37,-2.41,-6.86,8.5,213.47,1.65,215.12
29,41.52,46.85,49.88,14.5,0.0,0.0,-34.62,-43.47,112.91,-3.24,-6.71,8.22,184.33,1.51,185.84
30,34.84,55.24,51.59,14.75,0.0,0.0,-29.65,-43.98,130.02,-4.02,-6.26,8.33,208.79,2.07,210.86
31,57.88,41.57,51.45,17.87,0.0,0.0,-29.39,-42.82,110.18,-2.72,-8.93,9.06,204.02,0.14,204.15
32,38.69,42.98,37.39,11.87,0.0,0.0,-35.06,-44.72,115.05,-3.37,-6.27,8.67,162.83,2.41,165.24
33,27.32,44.08,45.91,11.9,0.0,0.0,-32.33,-45.33,123.54,-1.83,-6.42,8.69,173.24,2.27,175.51
34,39.7,34.12,46.59,12.56,0.0,0.0,-35.12,-44.24,119.65,-3.38,-6.53,8.48,169.88,1.95,171.83
35,46.12,45.88,48.27,13.91,0.0,0.0,-32.38,-44.41,117.04,-3.57,-6.7,8.69,190.86,1.98,192.85
36,35.25,49.56,51.98,14.72,0.0,0.0,-39.6,-45.08,122.89,-3.14,-3.43,7.54,186.58,4.11,190.69
37,34.81,43.49,54.47,12.41,0.0,0.0,-31.59,-44.88,118.34,-3.36,-7.32,8.79,183.69,1.47,185.16
38,50.05,46.9,48.86,15.76,0.0,0.0,-32.8,-45.54,112.53,-2.96,-6.0,8.38,192.8,2.38,195.18
39,51.27,40.85,57.16,14.95,0.0,0.0,-35.58,-44.37,114.82,-3.18,-6.14,8.36,195.91,2.22,198.13
40,35.95,45.37,50.86,13.48,0.0,0.0,-32.92,-41.5,121.09,-5.28,-7.07,8.88,187.05,1.81,188.86
41,44.25,43.2,53.59,13.52,0.0,0.0,-32.84,-46.28,116.14,-2.49,-6.75,8.97,189.1,2.22,191.32
42,34.17,47.0,49.15,13.6,0.0,0.0,-30.55,-44.59,123.34,-2.04,-7.28,8.87,190.08,1.59,191.67
43,27.8,48.9,48.74,13.37,0.0,0.0,-27.35,-44.06,131.68,-3.55,-8.05,9.08,195.53,1.04,196.57
44,29.0,52.01,47.58,12.79,0.0,0.0,-32.04,-40.21,126.14,-3.82,-9.42,8.86,191.46,-0.57,190.89
45,36.94,41.34,52.33,13.17,0.0,0.0,-26.41,-42.99,118.12,-3.24,-7.33,8.92,189.25,1.59,190.84
46,40.58,52.85,42.24,15.2,0.0,0.0,-31.11,-44.27,115.99,-2.61,-6.31,8.4,188.87,2.09,190.96
47,39.75,44.74,48.75,15.2,0.0,0.0,-32.03,-42.74,117.01,-2.08,-7.01,8.53,188.61,1.52,190.13
48,38.84,52.54,51.51,13.87,0.0,0.0,-36.98,-44.79,120.2,-2.72,-4.06,7.74,192.47,3.67,196.14
49,52.22,51.06,50.83,15.6,0.0,0.0,-31.12,-41.91,118.33,-3.92,-7.68,8.43,211.09,0.75,211.83
50,41.05,42.14,48.74,13.94,0.0,0.0,-28.71,-43.35,119.96,-4.81,-6.31,8.41,188.95,2.1,191.05
51,44.81,49.64,50.19,15.26,0.0,0.0,-32.28,-43.74,117.62,-2.5,-6.86,8.63,199.01,1.77,200.78
52,35.99,48.12,46.6,13.83,0.0,0.0,-25.76,-42.58,123.11,-2.76,-5.78,8.35,196.55,2.58,199.13
53,39.16,47.76,43.04,13.77,0.0,0.0,-30.91,-45.69,116.78,-3.12,-5.89,8.58,180.79,2.69,183.48
54,43.1,51.38,45.84,14.96,0.0,0.0,-28.22,-44.36,116.84,-3.34,-8.1,8.9,196.19,0.8,196.99
55,40.68,47.75,42.36,15.08,0.0,0.0,-23.65,-45.39,120.16,-2.66,-7.93,9.38,194.34,1.44,195.78
56,43.69,51.1,47.94,15.55,0.0,0.0,-34.9,-42.23,121.93,-3.75,-8.08,8.73,199.33,0.65,199.98
57,41.71,41.36,45.6,13.02,0.0,0.0,-34.0,-44.17,117.2,-3.05,-4.57,7.92,177.68,3.34,181.02
58,46.74,45.63,47.82,14.76,0.0,0.0,-32.36,-42.02,111.95,-4.65,-7.25,8.27,187.87,1.02,188.89
59,31.41,45.15,47.25,11.8,0.0,0.0,-29.06,-44.84,119.05,-2.76,-5.94,8.61,177.99,2.67,180.67
60,36.35,61.54,45.85,15.05,0.0,0.0,-35.99,-43.51,114.61,-2.57,-6.63,7.96,191.34,1.33,192.67
61,38.14,46.64,42.77,13.99,0.0,0.0,-34.73,-44.46,121.83,-2.09,-4.74,7.95,182.08,3.21,185.29
62,44.62,41.98,46.98,14.0,0.0,0.0,-33.94,-43.27,114.56,-2.45,-5.13,8.32,182.48,3.18,185.67
63,26.95,39.83,45.88,10.62,0.0,0.0,-36.31,-45.66,122.75,-1.72,-3.94,8.06,162.35,4.12,166.47
64,37.0,39.93,44.02,14.02,0.0,0.0,-32.13,-47.27,121.17,-0.49,-5.81,8.26,176.25,2.46,178.71
65,30.17,45.11,51.0,14.68,0.0,0.0,-31.35,-42.73,125.33,-3.28,-4.32,7.84,188.94,3.52,192.46
66,34.13,53.41,53.95,15.41,0.0,0.0,-35.3,-42.42,119.82,-2.38,-5.38,7.86,196.62,2.49,199.1
67,33.02,42.91,45.0,12.99,0.0,0.0,-32.79,-44.2,119.51,-0.64,-5.08,8.11,175.82,3.03,178.85
68,40.41,43.21,45.14,13.38,0.0,0.0,-38.58,-41.86,116.32,-3.28,-4.73,7.78,174.74,3.04,177.78
69,49.86,51.44,51.24,15.37,0.0,0.0,-38.24,-44.1,113.18,-2.25,-4.92,7.8,196.5,2.88,199.38

Delta Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,0.0,0.0,0.0,-0.0,0.0,0.0,-0.01,1.47,0.0,-0.0,-1.46,-0.0,1.46,-1.46,-0.0
2,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.03,-0.24,-0.0,-0.0,0.27,0.0,-0.27,0.27,0.01
3,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,0.62,-0.0,0.0,-0.62,-0.0,0.61,-0.62,-0.01
4,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.5,0.0,-0.0,-0.49,0.0,0.48,-0.49,-0.01
