GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
13,32.56,47.96,41.62,13.18,0.0,0.0,-30.21,-44.0,122.58,-3.49,-6.22,8.13,180.18,1.91,182.09
14,37.78,48.94,54.12,13.85,0.0,0.0,-36.66,-41.98,119.03,-3.55,-7.13,8.3,191.52,1.17,192.69
15,38.65,50.71,47.56,14.23,0.0,0.0,-32.05,-41.62,121.33,-4.79,-8.14,8.68,194.02,0.54,194.56
16,43.56,39.7,44.81,12.29,0.0,0.0,-25.12,-40.29,111.6,-3.6,-10.76,9.13,182.95,-1.63,181.31
17,39.88,43.9,48.5,12.95,0.0,0.0,-31.36,-38.0,118.09,-4.53,-9.57,9.05,189.42,-0.52,188.9
18,49.02,44.92,46.57,14.44,0.0,0.0,-28.61,-42.92,114.39,-3.48,-8.03,8.61,194.33,0.58,194.91
19,38.85,45.97,53.02,13.38,0.0,0.0,-26.78,-42.65,120.87,-3.55,-9.95,9.27,199.1,-0.68,198.42
20,32.93,51.02,49.88,16.0,0.0,0.0,-31.43,-41.23,119.26,-5.04,-8.82,8.9,191.39,0.08,191.47
21,45.85,44.38,44.86,11.24,0.0,0.0,-33.97,-38.91,119.98,-5.94,-9.43,9.08,187.49,-0.35,187.14
22,41.15,42.52,47.67,14.4,0.0,0.0,-29.84,-41.36,119.27,-2.96,-8.23,9.08,190.86,0.85,191.71
23,52.02,42.35,46.36,13.83,0.0,0.0,-30.67,-40.7,111.44,-4.22,-8.59,8.65,190.41,0.05,190.46
24,44.47,40.26,43.39,12.44,0.0,0.0,-27.24,-37.62,116.47,-5.31,-8.36,8.68,186.86,0.32,187.19
25,37.52,47.53,44.49,13.68,0.0,0.0,-24.48,-42.28,122.23,-5.18,-8.32,8.91,193.51,0.59,194.1
26,37.52,52.26,44.08,14.71,0.0,0.0,-26.6,-44.34,120.06,-3.66,-8.16,9.04,194.03,0.87,194.9
27,45.9,53.19,47.86,16.02,0.0,0.0,-26.72,-44.41,119.88,-2.74,-8.43,9.2,208.98,0.78,209.76
28,43.43,41.48,52.02,13.68,0.0,0.0,-29.25,-42.55,116.58,-2.95,-7.38,8.62,192.45,1.24,193.69
29,37.16,34.29,40.83,12.19,0.0,0.0,-24.17,-44.65,118.09,-2.24,-7.18,8.79,171.5,1.62,173.11
